Wave,Time after wave started,Small Zombie,Small time delta,Fat Zombie,Fat time delta,Bicycle Zombie,Bicycle time delta,Spider Zombie,Spider time delta,Lincoln Zombie,Lincoln time delta
1,5,0,0,0,0,5,1,0,0,0,0
1,16,20,0,0,0,0,0,0,0,0,0
1,20,0,0.3,1,0,0,0,0,0,0,0
2,5,0,0,0,0,10,1,0,0,0,0
2,16,0,0,0,0,0,0,10,0,0,0
2,20,20,0.3,0,0,0,0,0,0,0,0
2,25,0,0.3,1,0,0,0,0,0,0,0
3,5,50,0.5,0,0,0,0,0,0,0,0
3,6,0,0.3,0,0,0,0,20,1,0,0
3,25,0,0.3,3,0,0,0,0,0,0,0
4,16,50,0.1,0,0,0,0,10,0,0,0
5,5,0,0,0,0,20,1,0,0,0,0
5,16,0,0,0,0,0,0,20,0,0,0
5,20,50,0.3,0,0,0,0,0,0,0,0
5,25,0,0.3,10,0.5,0,0,0,0,0,0
6,5,0,0,0,0,50,1,0,0,0,0
6,31,0,0,0,0,0,0,50,1,0,0
7,5,100,0.3,0,0,0,0,0,0,0,0
7,15,0,0.3,10,0.5,0,0,0,0,0,0
7,30,0,0.3,0,0,0,0,20,0.2,0,0
8,5,0,0,5,1,50,1,0,0,0,0
8,16,0,0,0,0,0,0,0,0,0,0
8,0,0,0.3,0,0,0,0,0,0,0,0
8,25,0,0.3,20,1,0,0,0,0,0,0
9,5,0,0.3,0,0.5,50,1,0,0.2,0,0
9,15,0,0.3,30,1,0,0,0,0.2,0,0
10,5,0,0,0,0,50,0.5,0,0,0,0
10,16,0,0,0,0,0,0,50,0.1,0,0
10,20,200,0.5,0,0,0,0,0,0,0,0
10,25,0,0.3,30,1,0,0,0,0,0,0
10,50,100,0.3,0,0.5,0,0,0,0,0,0
11,0,0,0.3,0,0.5,0,0,0,0,1,0
